Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C15, C16, C18, C19, C7, C8, C9",0402,12,100n,
"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C27, C28, C29, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",01005,85,0.1uf,
"C17, C2, C3, C4",0402,4,4.7u,
"C20, C21",0402,2,15p,
C22,0402,1,10u,
"C5, C6",01005,2,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D9",D_SOD-123,83,1N4148W,
"D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D84, D85, D86, D87, D88, D93, D94, D95, D96, D97, D98, D99",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,85,SK6812MINI-E,
J1,USB_C_Receptacle_Amphenol_12401948E412A,1,USB_C_Receptacle_USB2.0_16P,
L2,AOTAB201610S3R3101T,1,AOTA-B201610S3R3-101-T,
"R1, R2",01005,2,5.1K,
"R10, R11, R12",0402,3,1k,
R10CLOSE1,0402,1,33,
"R3, R4",0402,2,27,
"SW10, SW89",SW_MX_1u,2,Control,
SW11,SW_MX_1u,1,F1,
SW12,SW_MX_1u,1,1,
SW13,SW_MX_1u,1,Q,
SW14,SW_MX_1u,1,A,
SW15,SW_MX_1u,1,Z,
SW16,SW_MX_1u,1,Win,
SW17,SW_MX_1u,1,F2,
SW18,SW_MX_1u,1,2,
SW19,SW_MX_1u,1,W,
SW2,SW_MX_1u,1,Caplocks,
SW20,SW_MX_1u,1,S,
SW21,SW_MX_1u,1,X,
SW22,SW_MX_1u,1,F3,
SW23,SW_MX_1u,1,3,
SW24,SW_MX_1u,1,E,
SW25,SW_MX_1u,1,D,
SW26,SW_MX_1u,1,C,
SW27,SW_MX_1u,1,F4,
SW28,SW_MX_1u,1,4,
SW29,SW_MX_1u,1,R,
"SW3, SW7",Panasonic_EVQPUJ_EVQPUA,2,SW_Push,
SW30,SW_MX_1u,1,F,
SW31,SW_MX_1u,1,V,
"SW32, SW80",SW_MX_1u,2,opt,
SW33,SW_MX_1u,1,F5,
SW34,SW_MX_1u,1,5,
SW35,SW_MX_1u,1,T,
SW36,SW_MX_1u,1,G,
SW37,SW_MX_1u,1,B,
SW38,SW_MX_1u,1,F6,
SW39,SW_MX_1u,1,6,
SW4,SW_MX_1u,1,Tab,
SW40,SW_MX_1u,1,Y,
