Designator,Mid X,Mid Y,Rotation,Layer
C1,314.645,217.845,0.0,bottom
C10,306.58,214.05,270.0,bottom
C100,417.38,122.3525,270.0,bottom
C101,133.97,103.2925,270.0,bottom
C102,157.76,103.09,270.0,bottom
C103,181.64,103.18,270.0,bottom
C104,417.26,103.26,270.0,bottom
C105,217.99,102.34,270.0,bottom
C106,252.91,103.06,270.0,bottom
C107,293.22,102.3,270.0,bottom
C108,322.11,103.17,270.0,bottom
C109,341.19,103.16,270.0,bottom
C11,308.55,214.05,270.0,bottom
C110,360.19,103.13,270.0,bottom
C111,379.41,103.23,270.0,bottom
C112,398.38,103.34,270.0,bottom
C113,188.66,198.4025,270.0,bottom
C12,310.52,214.05,270.0,bottom
C13,295.374,224.028,0.0,bottom
C19,303.8,224.5,180.0,bottom
C2,314.645,215.875,0.0,bottom
C20,288.875,217.5,0.0,bottom
C21,288.85,212.375,0.0,bottom
C22,276.175,215.325,0.0,bottom
C27,131.59,198.42,270.0,bottom
C28,150.65,198.42,270.0,bottom
C29,169.76,198.46,270.0,bottom
C3,314.645,213.905,0.0,bottom
C32,207.86,198.84,270.0,bottom
C33,226.96,198.67,270.0,bottom
C34,245.95,198.73,270.0,bottom
C35,265.0,198.7325,270.0,bottom
C36,284.07,198.66,270.0,bottom
C37,303.14,198.81,270.0,bottom
C38,322.22,198.6725,270.0,bottom
C39,341.28,198.5,270.0,bottom
C4,304.61,217.055,270.0,bottom
C40,360.33,198.5175,270.0,bottom
C41,131.58,179.24,270.0,bottom
C42,150.72,179.3725,270.0,bottom
C43,169.81,179.3575,270.0,bottom
C44,188.8,179.35,270.0,bottom
C45,207.8,179.3525,270.0,bottom
C46,226.91,179.3325,270.0,bottom
C47,245.96,179.41,270.0,bottom
C48,265.03,179.35,270.0,bottom
C49,284.09,179.41,270.0,bottom
C5,276.098,213.614,0.0,bottom
C50,303.17,179.3775,270.0,bottom
C51,322.1,179.2875,270.0,bottom
C52,341.21,179.32,270.0,bottom
C53,360.27,179.37,270.0,bottom
C54,388.71,179.47,270.0,bottom
C55,417.27,179.39,270.0,bottom
C56,136.36,160.25,270.0,bottom
C57,160.17,160.3,270.0,bottom
C58,179.18,160.3,270.0,bottom
C59,198.17,160.34,270.0,bottom
C6,275.9035,216.916,0.0,bottom
C60,217.34,160.3,270.0,bottom
C61,236.26,160.41,270.0,bottom
C62,255.29,160.37,270.0,bottom
C63,274.53,160.28,270.0,bottom
C64,293.51,160.2525,270.0,bottom
C65,312.57,160.2425,270.0,bottom
C66,331.61,160.29,270.0,bottom
C67,350.71,160.3525,270.0,bottom
C68,369.74,160.3275,270.0,bottom
C69,393.56,160.3525,270.0,bottom
C7,306.58,217.055,270.0,bottom
C70,417.38,160.33,270.0,bottom
C71,138.76,141.2025,270.0,bottom
C72,164.95,141.19,270.0,bottom
C73,184.01,141.1875,270.0,bottom
C74,203.03,141.1825,270.0,bottom
C75,222.09,141.2,270.0,bottom
C76,241.04,141.19,270.0,bottom
C77,260.16,141.2,270.0,bottom
C78,279.26,141.2,270.0,bottom
C79,298.27,141.19,270.0,bottom
C8,308.55,217.055,270.0,bottom
C80,317.37,141.19,270.0,bottom
C81,336.4,141.18,270.0,bottom
C82,355.37,141.2,270.0,bottom
C83,386.42,141.19,270.0,bottom
C84,417.31,141.19,270.0,bottom
C85,143.58,122.24,270.0,bottom
C86,174.48,122.18,270.0,bottom
C87,193.45,122.27,270.0,bottom
C88,212.6,122.2,270.0,bottom
C89,231.59,122.28,270.0,bottom
C9,304.61,214.05,270.0,bottom
C90,250.67,122.31,270.0,bottom
C91,269.71,122.2,270.0,bottom
C92,379.22,198.4,270.0,bottom
C93,398.3,198.39,270.0,bottom
C94,288.8,122.2,270.0,bottom
C95,307.8,122.19,270.0,bottom
C96,326.82,122.2925,270.0,bottom
C97,345.88,122.1625,270.0,bottom
C98,372.17,122.23,270.0,bottom
C99,398.38,122.28,270.0,bottom
D1,146.43,199.9925,90.0,bottom
D10,317.87,199.93,90.0,bottom
D100,385.91,199.91,0.0,bottom
D101,404.935,199.83,0.0,bottom
D102,138.315,180.89,0.0,bottom
D103,157.415,180.86,0.0,bottom
D104,176.495,180.9,0.0,bottom
D105,195.515,180.82,0.0,bottom
D106,214.52,180.85,0.0,bottom
D107,233.59,180.81,0.0,bottom
D108,252.64,180.83,0.0,bottom
D109,271.71,180.76,0.0,bottom
D11,336.95,200.08,90.0,bottom
D110,290.74,180.73,0.0,bottom
D111,309.915,180.79,0.0,bottom
D112,328.78,180.81,0.0,bottom
D113,347.94,180.74,0.0,bottom
D114,366.905,180.79,0.0,bottom
D115,395.415,180.77,0.0,bottom
D116,423.975,180.7,0.0,bottom
D117,143.03,161.86,0.0,bottom
D118,166.88,161.76,0.0,bottom
D119,185.865,161.8,0.0,bottom
D12,356.03,199.91,90.0,bottom
D120,204.835,161.82,0.0,bottom
D121,224.075,161.86,0.0,bottom
D122,242.93,161.88,0.0,bottom
D123,262.0,161.9,0.0,bottom
D124,281.185,161.91,0.0,bottom
D125,300.19,161.84,0.0,bottom
D126,319.295,161.97,0.0,bottom
D127,228.531,142.76,0.0,bottom
D128,150.183,123.94,0.0,bottom
D129,352.621,123.686,0.0,bottom
D13,375.03,199.9,90.0,bottom
D130,338.651,161.96,0.0,bottom
D131,247.581,142.506,0.0,bottom
D132,181.102,123.698,0.0,bottom
D133,378.783,123.94,0.0,bottom
D134,357.378,162.052,0.0,bottom
D135,266.885,142.506,0.0,bottom
D136,200.337,123.94,0.0,bottom
D137,405.199,123.94,0.0,bottom
D138,376.682,162.052,0.0,bottom
D139,285.681,142.506,0.0,bottom
D14,394.06,200.0225,90.0,bottom
D140,219.202,123.698,0.0,bottom
D141,424.18,123.952,0.0,bottom
D142,400.304,162.052,0.0,bottom
D143,305.239,142.76,0.0,bottom
D144,238.252,123.698,0.0,bottom
D145,140.716,104.902,0.0,bottom
D146,423.926,161.798,0.0,bottom
D147,323.85,142.748,0.0,bottom
D148,257.302,123.952,0.0,bottom
D149,164.338,104.902,0.0,bottom
D15,413.14,199.95,90.0,bottom
D150,145.796,143.002,0.0,bottom
D151,342.831,142.76,0.0,bottom
D152,276.606,123.698,0.0,bottom
D153,188.214,104.902,0.0,bottom
D154,171.704,142.748,0.0,bottom
D155,361.95,142.748,0.0,bottom
D156,295.402,123.686,0.0,bottom
D157,222.065,104.89,0.0,bottom
D158,190.431,142.76,0.0,bottom
D159,393.192,142.748,0.0,bottom
D16,146.42,180.8125,90.0,bottom
D160,314.452,123.686,0.0,bottom
D161,259.657,104.914,0.0,bottom
D162,209.481,142.506,0.0,bottom
D163,423.995,142.76,0.0,bottom
D164,333.502,123.698,0.0,bottom
D165,297.249,104.89,0.0,bottom
D166,328.81,104.86,0.0,bottom
D167,347.86,104.84,0.0,bottom
D168,366.86,104.75,0.0,bottom
D169,386.13,104.8,0.0,bottom
D17,165.57,180.9525,90.0,bottom
D170,405.13,104.86,0.0,bottom
D171,423.97,104.81,0.0,bottom
D172,195.326,200.152,0.0,bottom
D18,184.66,180.8525,90.0,bottom
D19,203.66,180.9225,90.0,bottom
D2,165.49,199.95,90.0,bottom
D20,222.64,180.91,90.0,bottom
D21,241.75,180.8925,90.0,bottom
D22,260.79,180.9025,90.0,bottom
D23,279.87,180.91,90.0,bottom
D24,298.95,181.0,90.0,bottom
D25,318.0,180.94,90.0,bottom
D26,336.95,180.84,90.0,bottom
D27,356.06,180.88,90.0,bottom
D28,375.11,180.94,90.0,bottom
D29,403.56,181.04,90.0,bottom
D3,184.61,200.06,90.0,bottom
D30,428.6425,177.42,180.0,bottom
D31,151.24,161.77,90.0,bottom
D32,175.05,161.8525,90.0,bottom
D33,194.03,161.85,90.0,bottom
